run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_qaoa_input_energy_normalized,adam_energy_history_normalized_json,adam_updates_completed,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,Instance_is_bipartite,Instance_is_regular,Regular_degree,Instance_is_claw_free,Instance_is_twin_free,Instance_is_planar,Instance_is_eulerian,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,compare_with_010101,init_QAOAparams_close_to_zero,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_max_retries,queue_poll_interval_seconds,max_graph_vertices,qaoa_seed,initialise_standard_warm_start_with_zero_angles,result_name_suffix,benchmark_repeat_idx,sdp_seed,qaoa_seed_used,hog_graph_index,edges,weights
131d1fb9,10,15,1,75.0,False,False,"[1, 1, 1]",8.697129079539492,,,,,,,,"[3.495649674965951, 3.498717568722591, 3.4970428205148574, 3.498625702920542, 3.499739617357518, 3.4999999224533402, 3.4998619071710677, 3.4995306255472616, 3.499182173557934, 3.499094945869015, 3.49937312217332, 3.4997775931862734, 3.499994121120632, 3.4999069637773403, 3.499651154944941, 3.499487623133827, 3.4995597817450097, 3.4997770689533194, 3.4999561702827977, 3.4999964673690425, 3.4999199089269766, 3.4998177560296915, 3.499774130731375, 3.499811741471677, 3.499894589538447, 3.4999688058432747, 3.499999637294335, 3.4999847608275387, 3.4999462584357075, 3.4999136115388927, 3.4999068483359714, 3.499927382544521, 3.499961401949326, 3.4999898801888225, 3.4999999942125952, 3.4999907646866593, 3.4999722075628594, 3.4999582013287807, 3.4999578027259735, 3.4999704396953164, 3.499987485515607, 3.499998619825431, 3.4999985493135393, 3.4999898871517368, 3.4999806554828674, 3.499978014347668, 3.499983511601054, 3.4999926639296115, 3.4999990959033505, 3.4999992898695447, 3.499994685024366, 3.499989975568372, 3.4999891326122894, 3.4999925610263793, 3.4999973604005628, 3.4999999251547176, 3.4999989438540786, 3.499995992455253, 3.499994052114753, 3.4999948068849522, 3.4999974002415337, 3.499999600466122, 3.4999998351281594, 3.499998439924692, 3.4999970648488574, 3.4999970333191355, 3.4999982703548906, 3.499999602861239, 3.4999999752199753, 3.499999291890171, 3.499998440108376, 3.4999982811103454, 3.499998924997782, 3.4999997401691063, 3.499999989955624, 3.499999595682198]",75,,,,,3.499999595682198,,0.40243160285112395,,,,7.995530366897583,7.995530366897583,False,,0.0,0.0,,,8.122486114501953,2026-08-26 17:47:05,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,False,True,False,True,3,False,False,True,False,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,221,"[(0, 1), (4, 7), (3, 8), (2, 6), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (3, 7), (4, 8), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a0a84c3a,10,20,1,75.0,False,False,"[1, 1, 1]",10.010546278637191,,,,,,,,"[4.998137782397317, 4.999942366030941, 5.002529878071911, 5.019602271985841, 5.062938106091187, 5.143826286370023, 5.26719481682811, 5.420332736753705, 5.584179496619568, 5.746826585232849, 5.910278997086694, 6.069910668660971, 6.188567165225261, 6.240876238272952, 6.208340103290199, 6.124856960077719, 6.054198951675974, 6.036184978681956, 6.059895309965771, 6.097309636294427, 6.133566898067879, 6.167649103300156, 6.198643049708028, 6.222605312423107, 6.236509362185882, 6.23875400727653, 6.228201999597843, 6.208453444452293, 6.189533710306508, 6.181654258473611, 6.188090190826157, 6.204226012051278, 6.22186422617899, 6.234770317723375, 6.241676647276369, 6.244611024120818, 6.245175585847053, 6.243539920133636, 6.240225056639029, 6.236685583721747, 6.2340255431560765, 6.232989889413519, 6.234759506623269, 6.239799447323503, 6.246206984590531, 6.2509198398755315, 6.252383133351436, 6.25116603887416, 6.248655615227834, 6.246169305289716, 6.2448201687519695, 6.24514506092233, 6.246689077143937, 6.24845765297019, 6.2498885572761855, 6.251033949387179, 6.251876152132716, 6.252092167049593, 6.2516033084296865, 6.250796362902989, 6.250099053470068, 6.249792010838722, 6.250111203093409, 6.251017108625052, 6.252001335688455, 6.25253316852813, 6.2525393171580825, 6.252254985342085, 6.251903770246437, 6.251662623834697, 6.251644258780709, 6.251796087175512, 6.251995728103761, 6.2522216886078015, 6.252472344306795, 6.252634393262781]",75,,,,,6.252634393262781,,0.6246047137913034,,,,8.985535383224487,8.985535383224487,False,,0.0,0.0,,,9.104550838470459,2026-08-26 17:47:06,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,False,False,False,True,4,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,43,"[(3, 8), (2, 9), (4, 9), (0, 2), (5, 7), (3, 4), (1, 3), (0, 1), (1, 6), (0, 4), (6, 8), (5, 6), (5, 9), (2, 4), (2, 7), (7, 9), (0, 3), (1, 8), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9840e9e4,10,20,1,75.0,False,False,"[1, 1, 1]",10.853114805715828,,,,,,,,"[4.9986410480860615, 4.999688458227306, 4.998666071310637, 4.998842391298456, 4.99944741775869, 4.999897051321097, 4.99995321906261, 4.999510183381983, 4.99948825238467, 4.999882991820897, 4.999994878796479, 4.999891487511499, 4.999808043586903, 4.999790767405077, 4.99983378641817, 4.999998458419811, 5.000665416834208, 5.003828527125149, 5.015325223917629, 5.0410078642787886, 5.087871586802588, 5.159125757910554, 5.2569228744004635, 5.374069724473917, 5.498012302317792, 5.601662920743637, 5.656211540224613, 5.637075008778522, 5.564983431524551, 5.507452041827254, 5.494859388084654, 5.527919685679103, 5.576054138981493, 5.623914893353675, 5.653225274531445, 5.658492272144825, 5.647921562331204, 5.628913373621411, 5.610876664228939, 5.60152532015865, 5.602048295179099, 5.61061451164384, 5.625048146993269, 5.641144019696348, 5.65362482684849, 5.659556991032551, 5.65830179318569, 5.651405275918348, 5.643381857673872, 5.638529154678567, 5.638659827750974, 5.643619008256101, 5.65061862348562, 5.656631211644632, 5.659837773058266, 5.659597538646254, 5.657052064917905, 5.653936057348651, 5.651780973298291, 5.651454415432068, 5.652950165098448, 5.655566085816305, 5.658143806063009, 5.659810317884705, 5.660098038750501, 5.659136567374107, 5.657781483831788, 5.656750094517216, 5.656625752896964, 5.657423435100412, 5.658603390635305, 5.6596829803525415, 5.660151485955398, 5.659989626262965, 5.6594591915569294, 5.65888249388257]",75,,,,,5.65888249388257,,0.5214063054877389,,,,8.943554639816284,8.943554639816284,False,,0.0,0.0,,,9.061835527420044,2026-08-26 17:47:07,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,False,False,False,True,4,False,True,False,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,312,"[(2, 9), (4, 6), (7, 8), (0, 2), (1, 7), (5, 7), (3, 4), (2, 8), (2, 5), (0, 1), (0, 4), (1, 9), (6, 8), (5, 6), (5, 9), (3, 6), (3, 9), (4, 7), (0, 3), (1, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
f76de66e,10,20,1,75.0,False,False,"[1, 1, 1]",9.984702860365672,,,,,,,,"[4.9979529378517835, 4.999631916883311, 4.99915161310809, 5.000440966781753, 5.004728146480586, 5.019346624798639, 5.050882161125116, 5.100840955047361, 5.173802219586569, 5.259367458547237, 5.334380445720034, 5.407982038809003, 5.477695057923778, 5.508746167723921, 5.47967058767337, 5.43045023337103, 5.402528183227384, 5.407128653903646, 5.431199671165267, 5.4533500242005175, 5.4725276567991745, 5.491638241349329, 5.5038018559178115, 5.5043185363246625, 5.495594370168379, 5.483377921142161, 5.4735932246327135, 5.470294104096035, 5.474473720679722, 5.483893167244955, 5.494209536020318, 5.501596226063715, 5.505112211390751, 5.506019985488547, 5.505141868166352, 5.502696492190032, 5.499708865991942, 5.4974022209341316, 5.496827660242881, 5.4991076250175945, 5.5036077052073225, 5.507646086331817, 5.50935018780367, 5.508852338507725, 5.5071614163337985, 5.505429643320662, 5.504581760246767, 5.504783582476755, 5.5055723238872885, 5.5066043929577475, 5.50781136325469, 5.50890220702164, 5.509405514884782, 5.509186678670851, 5.508460943376535, 5.5076565983476256, 5.507372306552114, 5.507816469684801, 5.5085621357099, 5.509165939843469, 5.50946065441655, 5.509429999032208, 5.509225842045203, 5.509016966472148, 5.508844753625413, 5.508781169870852, 5.508930979767757, 5.509233101484956, 5.5095112112626605, 5.509631604975138, 5.509547685598591, 5.509364662906307, 5.509258729967717, 5.509271374297287, 5.509351337852198, 5.509459968713089]",75,,,,,5.509459968713089,,0.5517900778582924,,,,8.899975776672363,8.899975776672363,False,,0.0,0.0,,,9.005290985107422,2026-08-26 17:47:08,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,False,False,False,True,4,False,True,False,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,270,"[(7, 8), (0, 2), (6, 9), (5, 7), (2, 8), (4, 5), (1, 3), (0, 1), (0, 4), (1, 9), (6, 8), (5, 6), (5, 9), (3, 6), (2, 4), (3, 9), (2, 7), (4, 7), (0, 3), (1, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9937dc62,10,15,2,75.0,False,False,"[1, 1, 1]",8.697129079539492,,,,,,,,"[4.279802767138366, 4.758344752006045, 4.934569579712403, 4.979938974050214, 4.9854898486962185, 4.991912410892348, 5.003754890148091, 5.027504188429122, 5.065851591598734, 5.103976998304731, 5.122424050917673, 5.114874765216655, 5.093666812999831, 5.079146004176971, 5.083409089031848, 5.103881001023247, 5.128612154192204, 5.145152618343172, 5.147553130746192, 5.1387800234579615, 5.127545177352921, 5.1222508283812225, 5.12655245512077, 5.13851859684211, 5.152605318495914, 5.162928247126151, 5.166270107874935, 5.1633431450684295, 5.157742822671256, 5.153512445387825, 5.152985407170921, 5.156048484449538, 5.160827037755517, 5.164954837246529, 5.166715289892183, 5.16579453796388, 5.163422857029062, 5.161662323092411, 5.162099964319669, 5.164775827588895, 5.168146194153451, 5.170192070156501, 5.169920425266065, 5.16807013637879, 5.1664166797719115, 5.166285456083302, 5.167601059494004, 5.169208154341537, 5.16999129399378, 5.16972765094503, 5.1690401173623375, 5.168698385179805, 5.168990314571142, 5.169643683587955, 5.170195948266533, 5.170386800190276, 5.170269631108679, 5.170069730192698, 5.169986616218973, 5.17008473689468, 5.170286024798551, 5.1704429590554835, 5.1704595039880985, 5.170381820334316, 5.170357844308918, 5.170486016521548, 5.170698868445491, 5.170823737757083, 5.170765287042011, 5.170611325828938, 5.170537833822089, 5.170620062341096, 5.170767044867274, 5.170839598553683, 5.170800716253141, 5.170732073004267]",75,,,,,5.170732073004267,,0.5945332104094808,,,,24.577520847320557,24.577520847320557,False,,0.0,0.0,,,24.77664303779602,2026-08-26 17:47:22,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,False,True,False,True,3,False,False,True,False,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,221,"[(0, 1), (4, 7), (3, 8), (2, 6), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (3, 7), (4, 8), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
a9203be8,10,20,2,75.0,False,False,"[1, 1, 1]",10.010546278637191,,,,,,,,"[5.751190544729788, 6.035353018228734, 6.19764742861074, 6.260640006685016, 6.204809346527411, 6.1431684655148375, 6.153061856863402, 6.223891161132487, 6.292270737642702, 6.309726599861542, 6.283981935890194, 6.258180989133715, 6.260002865974762, 6.28478988995265, 6.309886682212514, 6.319154782112813, 6.316703997881381, 6.3127502697365125, 6.3093091889418496, 6.307881445433415, 6.312411041989381, 6.3214647564054705, 6.329266818895961, 6.332796346359274, 6.332000127045707, 6.327939351095794, 6.324723381401582, 6.3272550138047885, 6.334607529884815, 6.339764472836136, 6.3384705937666075, 6.334643540913034, 6.333846154283185, 6.336345982214211, 6.339373798360484, 6.341250551994931, 6.341540820191061, 6.340498836372838, 6.339313102240167, 6.339305001975411, 6.340625885681177, 6.342347255011995, 6.3434891384504395, 6.3434543712857385, 6.34230547060916, 6.341306930627447, 6.341813842742367, 6.343255052576349, 6.344018464401598, 6.343914499900594, 6.343730157454929, 6.3435829268676205, 6.343433450360031, 6.343595559881242, 6.343976959362183, 6.344254783389057, 6.344407663734949, 6.344351937887115, 6.344129571460361, 6.344125073354135, 6.3443166735246095, 6.344406013942695, 6.344505441851141, 6.344643559607083, 6.344579638561178, 6.344442217405137, 6.344489038863684, 6.344627308089371, 6.344714509074413, 6.344714998399874, 6.344648980681241, 6.344645950977604, 6.344714428162483, 6.344737259469919, 6.344740954696553, 6.344752044255122]",75,,,,,6.344752044255122,,0.6338067741412888,,,,28.071671962738037,28.071671962738037,False,,0.0,0.0,,,28.267253637313843,2026-08-26 17:47:26,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,False,False,False,True,4,True,True,True,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,43,"[(3, 8), (2, 9), (4, 9), (0, 2), (5, 7), (3, 4), (1, 3), (0, 1), (1, 6), (0, 4), (6, 8), (5, 6), (5, 9), (2, 4), (2, 7), (7, 9), (0, 3), (1, 8), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8cca6642,10,20,2,75.0,False,False,"[1, 1, 1]",10.853114805715828,,,,,,,,"[4.953760383662228, 5.656096440061023, 6.038064435941698, 6.265069457365715, 6.4112511805080565, 6.473033868502317, 6.45022823591539, 6.385847989685597, 6.337790223054448, 6.335680879225448, 6.375914385451028, 6.437091777009933, 6.494841781594772, 6.531547856343135, 6.540754073784487, 6.526810464466702, 6.500943385535316, 6.475763985452812, 6.460750959047134, 6.460193955171089, 6.473343091565579, 6.495751308833012, 6.521081513732545, 6.543044031286341, 6.557142946394506, 6.56182103485418, 6.558642614561487, 6.55146307654617, 6.5448937430823495, 6.54259717355868, 6.546041196023781, 6.554195772722037, 6.564283003436726, 6.5732221586672415, 6.579089152460761, 6.581915003462042, 6.583521625553797, 6.586625662650404, 6.593757216188318, 6.606522653694482, 6.625439713526362, 6.650331062348174, 6.681063095362908, 6.718164472882314, 6.762532986942398, 6.81317252746523, 6.862497787080938, 6.892312043916867, 6.882937251314421, 6.848765253502956, 6.835706492414644, 6.850103066442201, 6.867627799664813, 6.87622599993339, 6.881875297747691, 6.891303886312774, 6.902262311547824, 6.908125377936889, 6.906300775699192, 6.900969077608064, 6.898146734700034, 6.899716082500548, 6.903069452802022, 6.905199818873386, 6.905891853319511, 6.907207155660575, 6.910768025798048, 6.915790029365817, 6.919566567559919, 6.919927590787302, 6.917411903070203, 6.914897635233142, 6.914960573281127, 6.917712302938053, 6.921131740218935, 6.923095505439883]",75,,,,,6.923095505439883,,0.6378901936791281,,,,28.068000078201294,28.068000078201294,False,,0.0,0.0,,,28.188140630722046,2026-08-26 17:47:26,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,False,False,False,True,4,False,True,False,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,312,"[(2, 9), (4, 6), (7, 8), (0, 2), (1, 7), (5, 7), (3, 4), (2, 8), (2, 5), (0, 1), (0, 4), (1, 9), (6, 8), (5, 6), (5, 9), (3, 6), (3, 9), (4, 7), (0, 3), (1, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
197a721c,10,25,1,75.0,False,False,"[1, 1, 1]",12.022361287207119,,,,,,,,"[6.368852103489358, 6.798632231383047, 7.102724022075348, 7.314824485762593, 7.46203872903355, 7.585369898879835, 7.682699559482843, 7.732453332186712, 7.737004848458791, 7.709777540967226, 7.665115718395043, 7.621454778662081, 7.59816283979471, 7.604231910804106, 7.634021068551021, 7.675922259428662, 7.721710528681441, 7.764803327741392, 7.795283280121977, 7.804920961708264, 7.7954221551095975, 7.777306001088707, 7.759520105153264, 7.746377019162275, 7.741183657379271, 7.745967504835903, 7.7582555881838156, 7.772039748353349, 7.783042636382248, 7.791176007577383, 7.796895575267619, 7.799130527957474, 7.797994904997345, 7.795694077369892, 7.793590066619702, 7.79119230970093, 7.788701744719201, 7.788009066478854, 7.790069742914733, 7.793680462237444, 7.797615111562342, 7.8015058026600705, 7.804404119592652, 7.804936376272287, 7.803263006109336, 7.801041106982238, 7.79937179605053, 7.798524869477371, 7.798898478443948, 7.800513377798555, 7.802393472889297, 7.803645316312549, 7.804315045322794, 7.80457335746377, 7.804310710884783, 7.803792294498788, 7.803462649950175, 7.803290035010197, 7.803159225389099, 7.803310074101476, 7.803799706856798, 7.804330072269208, 7.804764810405395, 7.805070120548202, 7.805058154732499, 7.804739538806144, 7.804426903193141, 7.804284840550149, 7.804307138277224, 7.804524553547721, 7.804834389848726, 7.805027071966588, 7.805081369080897, 7.8050675310857764, 7.804985239533768, 7.804894980504604]",75,,,,,7.804894980504604,,0.649198172809007,,,,10.633474349975586,10.633474349975586,False,,0.0,0.0,,,10.744673728942871,2026-08-26 17:47:40,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.22,False,False,False,True,5,False,True,False,False,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,361,"[(2, 3), (3, 8), (2, 9), (4, 6), (0, 5), (1, 4), (0, 2), (5, 7), (4, 8), (8, 9), (1, 3), (0, 1), (1, 6), (0, 4), (6, 8), (5, 6), (5, 9), (3, 9), (2, 7), (4, 7), (7, 9), (0, 3), (1, 2), (5, 8), (6, 7)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0ecdb5a7,10,20,2,75.0,False,False,"[1, 1, 1]",9.984702860365672,,,,,,,,"[4.539971023239413, 5.283305863614343, 5.6873271028443915, 5.913593741923543, 6.033044102798632, 6.091043323074051, 6.115771492045513, 6.114874309086581, 6.100017726125051, 6.091744013567723, 6.104042577906185, 6.138495414780137, 6.186733807831979, 6.2359483861396034, 6.275646790201687, 6.302631793625433, 6.321016282230623, 6.338094968805814, 6.359898231539864, 6.388834311159598, 6.423656772977929, 6.460979516954095, 6.497130916394947, 6.52958401604816, 6.558304737019741, 6.585447310147838, 6.610366515756393, 6.627112420308857, 6.630241171313892, 6.62160233549203, 6.609258749029318, 6.599890524231023, 6.596078525915404, 6.6001058031488125, 6.61421508428544, 6.634763054628081, 6.652648756514951, 6.661212042841985, 6.661410130814592, 6.6582920624619, 6.6553946378637505, 6.654397361767623, 6.6563075568530845, 6.660770106028205, 6.665540306581909, 6.668147859815155, 6.668002904761517, 6.66658084374796, 6.665799660260653, 6.6664477302328455, 6.668025878714536, 6.66975585186968, 6.671394861917975, 6.672916410073093, 6.673961085646654, 6.674267586115608, 6.674247373453296, 6.674426676250092, 6.674697274359186, 6.674737134251193, 6.674689289394733, 6.67488629553896, 6.6753228297598675, 6.67583866638414, 6.676472861372519, 6.677244826771164, 6.677853889054582, 6.677982484620422, 6.677731252836927, 6.677462252310732, 6.677363895118759, 6.6774082489913065, 6.677562307953381, 6.677794007401626, 6.677992182549745, 6.678082970933512]",75,,,,,6.678082970933512,,0.6688314178524226,,,,29.880584478378296,29.880584478378296,False,,0.0,0.0,,,30.008707284927368,2026-08-26 17:47:43,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.23,False,False,False,True,4,False,True,False,True,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,270,"[(7, 8), (0, 2), (6, 9), (5, 7), (2, 8), (4, 5), (1, 3), (0, 1), (0, 4), (1, 9), (6, 8), (5, 6), (5, 9), (3, 6), (2, 4), (3, 9), (2, 7), (4, 7), (0, 3), (1, 8)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
29b089ef,10,15,3,75.0,False,False,"[1, 1, 1]",8.697129079539492,,,,,,,,"[3.968716180594719, 4.27401893770999, 4.591752045062413, 4.75285124813616, 4.742370969836337, 4.747181811748088, 4.804560924743446, 4.87743091241748, 4.922004725619491, 4.9409983962819926, 4.9664455243079795, 5.008845659858445, 5.057116781451825, 5.0977961547027375, 5.130484310757531, 5.152820528972857, 5.157618996911338, 5.149582808255563, 5.144944173791437, 5.153822843789755, 5.171355242855763, 5.185351606896351, 5.187717948080014, 5.180443068745905, 5.172824056674057, 5.1726148509305645, 5.180639233125357, 5.192644872072636, 5.203532424820965, 5.210048964083821, 5.211660401832475, 5.2102905556551855, 5.208998453190893, 5.209770262577365, 5.211971801033532, 5.2133627475144095, 5.212865787900307, 5.211736655716324, 5.211872501518293, 5.213830140641998, 5.216803776009351, 5.219732988264337, 5.221884808138105, 5.222908859221197, 5.222974739919241, 5.222657182677429, 5.222362950923841, 5.222066166955539, 5.221743835502832, 5.2217774463422, 5.22258062284018, 5.223945412934564, 5.225121309086446, 5.225585583839121, 5.225460903451569, 5.2251605424702445, 5.224947723936001, 5.224897052170075, 5.224963263027575, 5.225022052083552, 5.225055008233869, 5.225241336321805, 5.225669474731499, 5.226101916130767, 5.226237501150863, 5.226069326926115, 5.225834492532916, 5.225740829225659, 5.225842122168844, 5.2260488173965385, 5.226202551250919, 5.226232986678014, 5.226231743697852, 5.22629283510561, 5.226370334133676, 5.22638125340634]",75,,,,,5.22638125340634,,0.6009317793962274,,,,49.400787591934204,49.400787591934204,False,,0.0,0.0,,,49.50503206253052,2026-08-26 17:47:47,x86_64,dacsvm-cpunode01,,32,32,3.11.15,0.24,False,True,False,True,3,False,False,True,False,adam,True,1,10,hamqaoa,0.05,False,False,hog,False,False,False,False,True,False,False,1,HOG_graphs/Exp5/list_388_graphs_adjacency_list_hog_v04-12_regular.txt,False,0,16,1,1,0,0,0,5,10,42,False,_Exp5_subexp4_standardWithHeuristic_rerun2508_03,1,,42,221,"[(0, 1), (4, 7), (3, 8), (2, 6), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (3, 7), (4, 8), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
